registry,2
maintained,2
secretariat,12
accounting,3
corresponding,1
environmental,4
accuracy,1
completeness,1
comparability,1
consistency,2
ensure,5
avoidance,2
double,2
counting,2
implementing,3
methods,1
provisions,11
paragraph,31
consideration,4
concerns,1
economies,1
-5-16,1
regional,14
integration,12
organizations,8
member,14
reached,1
act,1
jointly,2
notify,1
terms,2
allocated,1
within,4
period,1
turn,2
inform,6
signatories,1
responsible,2
paragraphs,5
acting,1
together,2
organization,10
state,4
individually,1
strive,1
formulate,2
mindful,1
conserve,1
enhance,10
forests,3
implement,7
results-based,1
payments,1
related,6
already,1
policy,2
approaches,11
positive,1
incentives,1
activities,5
relating,2
reducing,3
deforestation,1
forest,2
degradation,1
management,4
carbon,1
stocks,1
alternative,1
joint,1
integral,2
reaffirming,1
incentivizing,1
non-carbon,1
benefits,1
associated,4
-6-article,1
recognize,7
choose,1
voluntary,5
engaging,1
cooperative,4
involve,3
use,3
internationally,2
transferred,2
governance,1
robust,1
inter,4
alia,4
authorized,3
participating,1
mechanism,16
hereby,6
authority,2
supervised,1
body,11
designated,1
fostering,1
incentivize,1
facilitate,3
private,2
entities,3
host,2
benefit,1
used,4
another,2
fulfil,1
deliver,1
overall,2
-7-5,1
demonstrate,2
achievement,4
share,2
proceeds,1
cover,1
administrative,2
expenses,1
assist,3
meet,1
costs,2
adopt,3
rules,3
modalities,8
procedures,9
integrated,1
holistic,1
balanced,1
non-market,3
coordinated,1
capacity-building,13
sector,1
enable,1
opportunities,1
coordination,1
across,1
instruments,5
institutional,7
arrangements,12
-8-article,1
establish,2
adaptive,1
capacity,7
strengthening,4
vulnerability,2
contributing,1
adequate,1
challenge,1
faced,1
subnational,2
international,11
dimensions,1
key,1
component,2
makes,1
protect,1
livelihoods,2
immediate,1
significant,3
greater,3
additional,5
acknowledge,1
follow,1
country-driven,4
gender-responsive,2
participatory,2
fully,2
transparent,4
approach,1
groups,2
based,2
traditional,1
integrating,1
socioeconomic,2
policies,5
cancun,1
-9-,1
sharing,1
good,4
practices,4
experiences,1
lessons,2
learned,2
relate,1
planning,2
relation,1
serve,9
synthesis,1
provision,2
technical,4
research,2
systematic,1
observation,1
system,1
early,3
warning,2
informs,1
services,1
supports,1
decision-making,1
assisting,1
identifying,2
received,3
challenges,1
gaps,2
encouraging,2
improving,1
effectiveness,2
durability,1
specialized,2
agencies,2
engage,1
processes,1
include,5
undertakings,1
process,3
assessment,3
formulating,1
prioritized,1
places,1
monitoring,1
evaluating,1
learning,1
programmes,1
-10-,1
building,3
ecological,1
natural,1
resources,7
submit,1
update,2
periodically,3
communication,5
without,2
creating,1
burden,2
submitted,2
updated,1
conjunction,4
communications,3
documents,1
plan,1
continuous,2
review,10
adequacy,1
progress,6
made,5
averting,1
minimizing,1
loss,5
damage,5
extreme,1
weather,1
events,4
slow,2
onset,2
risk,4
warsaw,3
subject,3
strengthened,1
facilitative,5
accordingly,1
areas,2
facilitation,1
emergency,1
preparedness,1
irreversible,1
permanent,1
comprehensive,2
insurance,2
facilities,1
pooling,1
solutions,1
non-economic,1
losses,1
-12-5,1
collaborate,1
bodies,13
expert,4
outside,1
financial,14
continuation,1
voluntarily,1
part,3
effort,2
mobilizing,1
wide,1
variety,2
channels,1
funds,1
supporting,1
mobilization,1
previous,1
scaled-up,1
constraints,1
considering,2
grant-based,1
biennially,3
indicative,1
quantitative,1
qualitative,1
applicable,1
projected,1
providing,1
-13-7,1
mobilized,1
interventions,1
guidelines,5
stipulated,1
operating,2
institutions,1
efficient,1
simplified,1
approval,6
readiness,1
vision,2
realizing,1
improve,1
deployment,2
dissemination,2
overarching,1
promoting,2
facilitating,2
-14-5,1
accelerating,1
enabling,1
innovation,1
critical,1
growth,1
supported,2
collaborative,1
stages,2
cycle,2
aspects,1
timely,1
accurate,1
responsive,1
ownership,1
iterative,1
cross-cutting,1
cooperate,2
-15-4,1
bilateral,1
multilateral,2
regularly,3
initial,1
steps,1
build,2
mutual,1
trust,1
confidence,1
built-in,1
flexibility,4
takes,1
capacities,3
builds,1
upon,5
collective,2
experience,3
non-intrusive,1
non-punitive,2
respectful,1
sovereignty,1
avoid,1
placing,1
undue,1
-16-4,1
biennial,2
reports,2
consultation,1
analysis,1
form,2
drawn,1
clear,1
tracking,1
individual,2
extent,3
overview,1
aggregate,1
following,2
inventory,1
report,2
prepared,1
using,1
practice,1
methodologies,1
accepted,1
intergovernmental,1
panel,1
track,1
needed,1
undergo,1
assistance,1
participate,3
consist,2
identify,1
improvement,1
accorded,1
pay,2
attention,2
elaborating,1
transparency-related,1
stock,1
assess,1
goals,1
-18-means,1
2023,1
unless,4
otherwise,4
decided,3
outcome,1
updating,1
compliance,1
committee,3
expert-based,1
nature,2
function,1
non-adversarial,1
operate,1
annually,1
supreme,1
observers,5
proceedings,2
serves,2
-19-3,1
bureau,1
representing,2
replaced,2
elected,2
amongst,2
keep,1
regular,1
make,1
mandate,1
perform,1
functions,6
assigned,2
subsidiary,17
deemed,2
exercise,6
required,1
procedure,2
applied,2
mutatis,6
mutandis,6
except,2
consensus,1
convened,1
scheduled,1
date,8
entry,2
force,5
subsequent,1
ordinary,2
sessions,5
held,3
extraordinary,1
times,1
written,2
request,2
six,1
months,1
one,5
third,2
-20-8,1
atomic,1
energy,1
agency,2
thereof,2
thereto,3
represented,2
whether,1
governmental,1
non-governmental,1
qualified,1
covered,1
wish,1
observer,1
admitted,1
present,1
object,1
admission,1
functioning,2
technological,4
advice,4
respectively,2
two,2
meetings,2
-21-2,1
concerning,1
bureaux,1
specify,1
exercised,1
open,3
signature,3
ratification,5
acceptance,5
headquarters,1
april,2
2016,1
2017,1
accession,5
day,4
closed,1
deposited,5
depositary,5
becomes,1
bound,1
case,1
-22-the,1
decide,1
performance,1
cases,1
entitled,1
concurrently,1
declare,1
competence,3
governed,1
substantial,1
modification,1
enter,2
thirtieth,2
total,3
estimated,1
per,1
cent,1
solely,1
limited,1
up-to-date,1
amount,1
adoption,3
ratifies,1
accepts,1
approves,1
accedes,1
conditions,1
fulfilled,1
deposit,1
instrument,2
purposes,1
counted,1
amendments,1
-23-article,1
amendment,1
annexes,4
expressly,1
reference,2
constitutes,1
restricted,1
lists,1
forms,1
material,1
descriptive,1
procedural,1
character,1
settlement,1
disputes,1
vote,3
number,2
votes,1
equal,1
exercises,1
vice,1
versa,1
secretary-general,2
reservations,1
-24-article,1
three,1
entered,1
withdraw,1
giving,1
notification,3
withdrawal,3
effect,2
expiry,1
year,1
receipt,1
later,1
specified,1
withdraws,1
considered,1
withdrawn,1
original,1
arabic,1
chinese,1
english,1
french,1
russian,1
spanish,1
texts,1
equally,1
authentic,1
done,1
twelfth,1
december,1
thousand,1
fifteen,1
witness,1
whereof,1
undersigned,1
duly,1
signed,1
-25-,1
